date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:31	107350/107350	---M--	200	added ('OK')	image/jpeg	etag:%223741192c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-tourism.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-tourism.jpg	(from https://www.edwiseinternational.com/blogs/know-it-all-about-pursuing-tourism-and-hospitality-in-dubai.html)
13:49:31	36285/36285	---M--	200	added ('OK')	image/jpeg	etag:%22a33d6992c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-dubai-3.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-dubai-3.jpg	(from https://www.edwiseinternational.com/blogs/know-it-all-about-pursuing-tourism-and-hospitality-in-dubai.html)
13:49:32	100899/100899	---M--	200	added ('OK')	image/jpeg	etag:%22efbe3190c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-architec-0.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-architec-0.jpg	(from https://www.edwiseinternational.com/blogs/all-about-pursuing-architecture-in-dubai.html)
13:49:32	33645/33645	---M--	200	added ('OK')	image/jpeg	etag:%22198e5892c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-dubai-1.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-dubai-1.jpg	(from https://www.edwiseinternational.com/blogs/all-about-pursuing-architecture-in-dubai.html)
13:49:33	44639/44639	---M--	200	added ('OK')	image/jpeg	etag:%22f4bc5090c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-aviation.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-aviation.jpg	(from https://www.edwiseinternational.com/blogs/fly-towards-your-dreams-by-studying-aviation-in-dubai.html)
13:49:33	66202/66202	---M--	200	added ('OK')	image/jpeg	etag:%228f948790c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-degree-0.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-degree-0.jpg	(from https://www.edwiseinternational.com/blogs/pursue-your-dreams-by-studying-an-mba-in-spain.html)
13:49:33	62409/62409	---M--	200	added ('OK')	image/jpeg	etag:%22862094c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-spain-0.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-spain-0.jpg	(from https://www.edwiseinternational.com/blogs/pursue-your-dreams-by-studying-an-mba-in-spain.html)
13:49:34	29876/29876	---M--	200	added ('OK')	image/jpeg	etag:%2277efc694c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/spn-img-0.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/spn-img-0.jpg	(from https://www.edwiseinternational.com/blogs/pursue-your-dreams-by-studying-an-mba-in-spain.html)
13:49:34	121840/121840	---M--	200	added ('OK')	image/jpeg	etag:%221fc6de94c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/spn-img-1.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/spn-img-1.jpg	(from https://www.edwiseinternational.com/blogs/pursue-your-dreams-by-studying-an-mba-in-spain.html)
13:49:35	19064/19064	---M--	200	added ('OK')	image/jpeg	etag:%221265dc94c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/spn-img-2.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/spn-img-2.jpg	(from https://www.edwiseinternational.com/blogs/pursue-your-dreams-by-studying-an-mba-in-spain.html)
13:49:35	130400/130400	---M--	200	added ('OK')	image/jpeg	etag:%224d823690c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-architect.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-architect.jpg	(from https://www.edwiseinternational.com/blogs/build-your-dream-life-by-studying-architecture-in-spain.html)
13:49:35	63614/63614	---M--	200	added ('OK')	image/jpeg	etag:%22f48d4894c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-spain-3.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-spain-3.jpg	(from https://www.edwiseinternational.com/blogs/build-your-dream-life-by-studying-architecture-in-spain.html)
13:49:36	109460/109460	---M--	200	added ('OK')	image/jpeg	etag:%228cc9f691c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-sports-0.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-sports-0.jpg	(from https://www.edwiseinternational.com/blogs/discover-the-benefits-of-studying-sports-in-spain.html)
13:49:36	62393/62393	---M--	200	added ('OK')	image/jpeg	etag:%22208d6794c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-spain-4.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-spain-4.jpg	(from https://www.edwiseinternational.com/blogs/discover-the-benefits-of-studying-sports-in-spain.html)
13:49:37	100959/100959	---M--	200	added ('OK')	image/jpeg	etag:%2255334790c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-art.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-art.jpg	(from https://www.edwiseinternational.com/blogs/all-about-studying-arts-and-business-in-spain.html)
13:49:37	87618/87618	---M--	200	added ('OK')	image/jpeg	etag:%22537a3594c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-sm-spain-1.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-sm-spain-1.jpg	(from https://www.edwiseinternational.com/blogs/all-about-studying-arts-and-business-in-spain.html)
13:49:38	96445/96445	---M--	200	added ('OK')	image/jpeg	etag:%2235817490c41fdb1:0%22	https://www.edwiseinternational.com/blogs/img/blog-lg-business.jpg	C:/My%20Web%20Sites/amarjeet_btpl/www.edwiseinternational.com/blogs/img/blog-lg-business.jpg	(from https://www.edwiseinternational.com/blogs/all-about-pursuing-business-in-spain.html)
